,Country,HappinessScore
0,Denmark,7.526
1,Switzerland,7.5089999999999995
2,Iceland,7.501
3,Norway,7.497999999999999
4,Finland,7.412999999999999
5,Canada,7.404
6,Netherlands,7.3389999999999995
7,New Zealand,7.334
8,Australia,7.313
9,Sweden,7.291
10,Israel,7.267
11,Austria,7.119
12,United States,7.104
13,Costa Rica,7.087000000000001
14,Germany,6.994
15,Brazil,6.952000000000001
16,Belgium,6.928999999999999
17,Ireland,6.907
18,Luxembourg,6.871
19,Mexico,6.778
20,Singapore,6.739
21,United Kingdom,6.725
22,Chile,6.705
23,Panama,6.7010000000000005
24,Argentina,6.65
25,Czech Republic,6.596
26,United Arab Emirates,6.5729999999999995
27,Uruguay,6.545
28,Malta,6.4879999999999995
29,Colombia,6.481
30,France,6.478
31,Thailand,6.474
32,Qatar,6.375
33,Spain,6.361000000000001
34,Guatemala,6.324
35,Suriname,6.269
36,Bahrain,6.218
37,Trinidad and Tobago,6.167999999999999
38,Venezuela,6.084
39,Slovakia,6.077999999999999
40,El Salvador,6.068
41,Nicaragua,5.992000000000001
42,Uzbekistan,5.987
43,Italy,5.977
44,Ecuador,5.976
45,Belize,5.956
46,Japan,5.921
47,Kazakhstan,5.919
48,Moldova,5.897
49,Russian Federation,5.856
50,Poland,5.835
51,South Korea,5.835
52,Bolivia,5.822
53,Lithuania,5.813
54,Belarus,5.8020000000000005
55,Slovenia,5.768
56,Peru,5.742999999999999
57,Turkmenistan,5.6579999999999995
58,Mauritius,5.648
59,Latvia,5.56
60,Cyprus,5.546
61,Paraguay,5.537999999999999
62,Romania,5.528
63,Estonia,5.517
64,Jamaica,5.51
65,Croatia,5.4879999999999995
66,Turkey,5.388999999999999
67,Jordan,5.303
68,Azerbaijan,5.291
69,Philippines,5.279
70,China,5.245
71,Kyrgyzstan,5.185
72,Serbia,5.1770000000000005
73,Bosnia and Herzegovina,5.162999999999999
74,Montenegro,5.1610000000000005
75,Dominican Republic,5.155
76,Morocco,5.151
77,Hungary,5.145
78,Lebanon,5.129
79,Portugal,5.122999999999999
80,Macedonia,5.121
81,Vietnam,5.061
82,Tunisia,5.045
83,Greece,5.033
84,Mongolia,4.907
85,Nigeria,4.875
86,Honduras,4.871
87,Zambia,4.795
88,Albania,4.655
89,Sierra Leone,4.635
90,Namibia,4.574
91,Cameroon,4.513
92,South Africa,4.459
93,Egypt,4.362
94,Armenia,4.36
95,Kenya,4.356
96,Ukraine,4.324
97,Ghana,4.276
98,Dem. Rep. Congo,4.272
99,Georgia,4.252
100,Rep. Congo,4.236000000000001
101,Senegal,4.218999999999999
102,Bulgaria,4.217
103,Zimbabwe,4.1930000000000005
104,Malawi,4.156000000000001
105,Gabon,4.121
106,Mali,4.073
107,Haiti,4.0280000000000005
108,Botswana,3.9739999999999998
109,Comoros,3.9560000000000004
110,Cote d'Ivoire,3.9160000000000004
111,Cambodia,3.907
112,Angola,3.866
113,Niger,3.8560000000000003
114,Chad,3.763
115,Burkina Faso,3.739
116,Madagascar,3.695
117,Tanzania,3.6660000000000004
118,Liberia,3.622
119,Benin,3.484
120,Togo,3.303
121,Syria,3.069
